id,name,Activity,Observation,Seeding,Transplanting,Harvest,Input,Soil,Logs
1,Bounding Box,,,,,,,,50
2,Pole Barn,1,2,,,,,,3
9,East Bay,,,,,,2,1,3
10,Middle Bay,34,2,,,,3,1,40
12,Rickter,,,,,9,5,1,15
13,East Brocklebank,2,,,,,1,,3
14,West Brocklebank,,,,,17,2,1,20
15,Ropes,5,,,,12,,1,18
16,Watkins,9,,,,12,5,1,27
19,Shop,,,,,,,,0
21,Banter House,,,,,,,,0
24,Heart,,,,,5,,1,6
25,Ulrichson,,,,,6,6,,12
26,Bale Yard,,,,,,,,0
27,Banter,4,1,,,4,2,1,12
29,Ward,,,,,14,4,1,19
31,Fogg,,1,,,2,,,3
32,Fogg 1,,,,,10,6,1,17
33,Back Fogg,,,,,9,3,1,13
34,Vivi,,,,,11,10,,21
35,Stone House,,,,,1,1,,2
36,Mallet Barn Pasture,,,,,2,,,2
37,Smith,,,,,16,9,,25
39,Old Mallet Barn Feeding Pad,,,,,,,,0
58,EPA Station in Brocklebank Field,,,,,,,,0
85,Mallet Barn,,,,,,,,0
88,Hill,,,,,,,,0
89,High roller tunnel,,,2,5,,,,7
90,Wedding,,,,,4,1,,5
91,West Bay,1,,19,49,1,2,,72
92,Market Garden Field,,,,,6,1,,7
93,Education Barn,1,4,,,,,,5
94,East Bay 1,27,3,,,,,1,31
95,East Bay 2,15,3,,,,,,18
96,East Bay 3,16,2,,,,,,18
97,West Bay 1,26,,,,25,,,51
98,West Bay 2,24,,,,,,,24
99,West Bay 3,21,,,,,,,21
100,West Bay 4,9,1,,,,,,10
114,Brocklebank,4,,,,,5,1,10
122,Oceanfront,2,,,,,,,2
123,Vachon Pasture,2,,,,,,,2
124,Pote Fingers,3,,,,,,1,4
125,State Park 1,3,,,,3,1,,7
126,State Park Swamp,1,,,,,,,1
132,Pote Barn,5,8,,,,,,13
133,Pote House,,,,,,,,0
134,Vachon Barn,,,,,,,,0
135,Gloria,,,,,4,1,,5
138,Brocklebank Swamp,7,,,,,,,7
155,Propagation house,,,95,12,13,,,120
162,Wishcamper,,3,,,5,,,8
171,UNH Plot 1,,,,,,,,0
172,UNH Plot 2,,,,,,,,0
173,UNH Plot 3,,,,,,,,0
176,2019 CIG State Park Forage Trial,3,,,,,2,1,6
177,2019 CIG State Park Forage Trial bed 1,,1,1,,,,,2
178,2019 CIG State Park Forage Trial bed 2,,1,1,,,,,2
179,2019 CIG State Park Forage Trial bed 3,,1,1,,,,,2
180,2019 CIG State Park Forage Trial bed 4,,1,1,,,,,2
181,2019 CIG State Park Forage Trial,,,,,,,,0
185,North Slope,2,2,33,28,6,,,71
188,Top of Hill,1,,42,38,22,,,103
189,Poor drainage,1,,21,17,13,,,52
190,The L,1,,4,2,4,,,11
191,Mixed orchard,,,,,,,,0
192,Banter Orchard,,,3,,,,,3
193,Birch Point F,1,1,5,21,,,,28
194,75 footer,,,22,32,5,,,59
195,Highroller summer,,,13,19,1,,,33
196,Highroller Winter plot,,,7,6,6,,,19
201,Dairy Barn,12,14,,,,,,26
341,ed garden,,,12,6,7,,,25
372,office,,,,,,,,0
621,West Brocklebank 1,4,,,,,,,4
622,West Brocklebank 4,5,,,,,,,5
623,West Brocklebank 2,10,,,,,,,10
624,West Brocklebank 3,13,,,,,,,13
625,East Brocklebank 1,25,,,,,,,25
626,East Brocklebank 2,6,,,,,,,6
650,Box Gardens,,,,,,,,0
677,Field,,,1,1,1,,,3